Timezone : Asia/Tokyo,Temperature,Humidity,CO2,Noise,Pressure
2017-1-3,8.1,49,335,38,1015.3
2017-1-3,8,49,327,39,1015.3
2017-1-3,8,49,326,38,1015.4
2017-1-3,7.9,49,318,36,1015.4
2017-1-3,7.9,49,324,36,1015.5
2017-1-3,7.8,50,329,38,1015.5
2017-1-3,7.8,50,323,38,1015.5
2017-1-3,7.7,50,318,36,1015.5
2017-1-3,7.6,50,322,38,1015.5
2017-1-3,7.5,50,318,38,1015.4
2017-1-3,7.5,50,320,37,1015.4
2017-1-3,7.4,50,310,36,1015.4
2017-1-3,7.4,50,321,36,1015.5
2017-1-3,7.3,50,310,37,1015.5
2017-1-3,7.2,50,307,37,1015.5
2017-1-3,7.2,50,312,36,1015.5
2017-1-3,7.2,51,308,36,1015.6
2017-1-3,7.1,51,307,36,1015.5
2017-1-3,7.1,51,310,37,1015.6
2017-1-3,7,51,302,37,1015.6
2017-1-3,6.9,51,301,37,1015.6
2017-1-3,6.9,51,306,36,1015.6
2017-1-3,6.8,51,312,36,1015.6
2017-1-3,6.8,51,308,36,1015.6
